trope,count,movies_with_trope,avg_rating
Aerith and Bob,19,"['ANewHope', 'InsideOut', 'TheHungerGames', 'StarWarsTheForceAwakens', 'BigHero6', 'TheSwanPrincess', 'CaptainFantastic', 'Okja', 'ThorRagnarok', 'StarWarsTheLastJedi', 'TheFloridaProject', 'HaroldAndKumarGoToWhiteCastle', 'TheLegoMovie', 'Onward', 'Us', 'Paddington', 'EverythingEverywhereAllatOnce', 'HomeAlone', 'TheIronGiant']",3.55
Alien Sky,10,"['ANewHope', 'PacificRim', 'GuardiansoftheGalaxyVol2', 'AlienCovenant', 'StarWarsTheLastJedi', 'StarshipTroopers', 'EnemyMine', 'Onward', 'Melancholia', 'DunePartTwo']",3.40
All There in the Script,46,"['ANewHope', 'PulpFiction', 'Carol', 'TheDarkKnightRises', 'TheHatefulEight', 'BigHero6', 'BreakfastatTiffanys', 'FindingDory', 'TheBigLebowski', 'TwoThousandOneASpaceOdyssey', 'District9', 'EuroTrip', 'WarforthePlanetoftheApes', 'DieHard2', 'Moana', 'IndependenceDay', 'GoodWillHunting', 'TheAbyss', 'ThePhantomMenace', 'ZeroDarkThirty', 'Chinatown', 'Joker', 'TheLordoftheRingsTheReturnoftheKing', 'NineteenSeventeen', 'BlowUp', 'CriesandWhispers', 'TheGoodtheBadandtheUgly', 'Stalker', 'EyesWideShut', 'PoliceAcademy', 'PromisingYoungWoman', 'Luca', 'TheDayAfterTomorrow', 'Nope', 'TheLordoftheRingsTheFellowshipoftheRing', 'BloodSimple', 'ToyStory1', 'TheRockyHorrorPictureShow', 'InsideOut2', 'Anora', 'HomeAlone', 'RaidersoftheLostArk', 'Flow2024', 'MalcolmX', 'Up', 'KPopDemonHunters']",3.41
All Your Base Are Belong to Us,17,"['ANewHope', 'TheEmpireStrikesBack', 'BatmanBegins', 'IronMan3', 'CaptainAmericaTheWinterSoldier', 'HardcoreHenry', 'ThorRagnarok', 'KingsmanTheGoldenCircle', 'LiveFreeorDieHard', 'StarWarsTheLastJedi', 'IndependenceDay', 'ThePhantomMenace', 'Us', 'GuardiansoftheGalaxyVol3', 'TheGodfather', 'TheGodfatherPartII', 'HowlsMovingCastle']",3.26
And Mission Control Rejoiced,9,"['ANewHope', 'ReturnoftheJedi', 'TheMartian', 'Argo', 'PacificRim', 'StarWarsTheLastJedi', 'IndependenceDay', 'ReadyPlayerOne', 'Oppenheimer']",3.89
And Starring,73,"['ANewHope', 'ReturnoftheJedi', 'AntMan', 'PulpFiction', 'ReservoirDogs', 'DjangoUnchained', 'IronMan3', 'CaptainAmericaTheWinterSoldier', 'TheImitationGame', 'TheHatefulEight', 'BigHero6', 'TheGrandBudapestHotel', 'OntheWaterfront', 'CaptainAmericaCivilWar', 'Psycho', 'TheBridgeontheRiverKwai', 'RogueOneAStarWarsStory', 'Inception', 'Logan', 'GuardiansoftheGalaxyVol2', 'WarforthePlanetoftheApes', 'Dunkirk', 'Terminator2JudgmentDay', 'ThorRagnarok', 'GetOut', 'ITonya', 'CrazyRichAsians', 'BlackMirrorBandersnatch', 'ThePhantomMenace', 'OnceUponaTimeinHollywood', 'StarWarsTheRiseofSkywalker', 'Midsommar', 'Machete', 'TheGoodtheBadandtheUgly', 'ChasingAmy', 'TheLegoMovie', 'JojoRabbit', 'PrideAndPrejudice2005', 'SpiderManHomecoming', 'SpiderManFarFromHome', 'SpiderManNoWayHome', 'TriangleofSadness', 'StarTrekIIITheSearchforSpock', 'StarTrekIVTheVoyageHome', 'Barbie', 'StarTrekTheMotionPicture', 'DumbMoney', 'Paddington', 'GuardiansoftheGalaxyVol3', 'DunePartTwo', 'TheLordoftheRingsTheFellowshipoftheRing', 'TheDeathofStalin', 'AreYouThereGodItsMeMargaret', 'TheHoldovers', 'EverythingEverywhereAllatOnce', 'HotTubTimeMachine', 'ETtheExtraTerrestrial', 'TheWildRobot', 'Bottoms', 'Anora', 'RaidersoftheLostArk', 'TheBrutalist', 'LittleMissSunshine', 'BlackPanther', 'Mickey17', 'TheDiscreetCharmoftheBourgeoisie', 'Sinners', 'LoveLiesBleeding', 'KPopDemonHunters', 'OneBattleAfterAnother', 'SentimentalValue', 'PalmSprings', 'Snowpiercer']",3.38
Apocalypse Wow,8,"['ANewHope', 'RogueOneAStarWarsStory', 'Terminator2JudgmentDay', 'DrStrangeloveorHowILearnedtoStopWorryingandLovetheBomb', 'ThorRagnarok', 'Akira', 'TheDayAfterTomorrow', 'GuardiansoftheGalaxyVol3']",3.38
An Arm and a Leg,24,"['ANewHope', 'TheEmpireStrikesBack', 'KillBill', 'RequiemforaDream', 'AvengersAgeofUltron', 'PacificRim', 'CaptainAmericaTheWinterSoldier', 'StarWarsTheForceAwakens', 'Zombeavers', 'TheHatefulEight', 'TheHobbitAnUnexpectedJourney', 'Logan', 'District9', 'StarshipTroopers', 'TheDeerHunter', 'ApocalypseNow', 'GreenRoom', 'TheGoodtheBadandtheUgly', 'BarryLyndon', 'StarTrekVITheUndiscoveredCountry', 'MasterandCommanderTheFarSideoftheWorld', 'ToyStory2', 'ToyStory1', 'Snowpiercer']",3.67
Armor Is Useless,17,"['ANewHope', 'TheHungerGamesMockingjayPart2', 'IronMan3', 'EdgeofTomorrow', 'Battleship', 'RogueOneAStarWarsStory', 'Aliens', 'District9', 'StarshipTroopers', 'JohnWickChapter3Parabellum', 'StarWarsTheRiseofSkywalker', 'TheLordoftheRingsTheTwoTowers', 'TheLordoftheRingsTheReturnoftheKing', 'StarTrekVITheUndiscoveredCountry', 'TheLordoftheRingsTheFellowshipoftheRing', 'SnakesonaPlane', 'SevenSamurai']",3.35
Artistic License – Gun Safety,28,"['ANewHope', 'ReturnoftheJedi', 'PulpFiction', 'Se7en', 'CaptainPhillips', 'Spy', 'CatchMeIfYouCan', 'ShaunoftheDead', 'RatchetAndClank2016', 'TheNiceGuys', 'TheBigLebowski', 'RogueOneAStarWarsStory', 'Aliens', 'BabyDriver', 'TheTerminator', 'Terminator2JudgmentDay', 'DrStrangeloveorHowILearnedtoStopWorryingandLovetheBomb', 'ThorRagnarok', 'DieHard2', 'StarshipTroopers', 'IndependenceDay', 'NineteenSeventeen', 'Crash', 'ThankYouforSmoking', 'PoliceAcademy', 'JohnWickChapter4', 'StandbyMe', 'RaidersoftheLostArk']",3.54
Ascetic Aesthetic,7,"['ANewHope', 'TheEmpireStrikesBack', 'ReturnoftheJedi', 'TwoThousandOneASpaceOdyssey', 'Moon', 'AmericanPsycho', 'TheLivesofOthers']",3.93
Asteroid Thicket,5,"['ANewHope', 'TheEmpireStrikesBack', 'TwoThousandOneASpaceOdyssey', 'GuardiansoftheGalaxyVol2', 'AdAstra']",3.90
Attack! Attack... Retreat! Retreat!,6,"['ANewHope', 'StarshipTroopers', 'Hamilton', 'StarTrekTheMotionPicture', 'TheLordoftheRingsTheFellowshipoftheRing', 'Flow2024']",3.67
Attack Its Weak Point,14,"['ANewHope', 'ReturnoftheJedi', 'AvengersAgeofUltron', 'PacificRim', 'StarWarsTheForceAwakens', 'TheDarkKnightRises', 'CaptainAmericaCivilWar', 'JasonBourne', 'RogueOneAStarWarsStory', 'ScottPilgrimvstheWorld', 'IndependenceDay', 'JohnWickChapter3Parabellum', 'StarWarsTheRiseofSkywalker', 'Dune1984']",3.46
Badass Boast,57,"['ANewHope', 'TheMartian', 'PulpFiction', 'SchindlersList', 'KillBill', 'AvengersAgeofUltron', 'BatmanBegins', 'TheWolfofWallStreet', 'PacificRim', 'IronMan3', 'DallasBuyersClub', 'TheHobbitTheDesolationofSmaug', 'CaptainAmericaTheWinterSoldier', 'Spy', 'StarWarsTheForceAwakens', 'Battleship', 'TheDarkKnightRises', 'TheSwanPrincess', 'HowtoTrainYourDragon2', 'OntheWaterfront', 'CaptainAmericaCivilWar', 'AllAboutEve', 'CatonaHotTinRoof', 'FantasticBeastsandWheretoFindThem', 'RogueOneAStarWarsStory', 'Inception', 'TheHobbitAnUnexpectedJourney', 'HiddenFigures', 'Gattaca', 'JohnWickChapter2', 'NoCountryforOldMen', 'ThereWillBeBlood', 'GuardiansoftheGalaxyVol2', 'Aliens', 'TheSocialNetwork', 'WarforthePlanetoftheApes', 'Terminator2JudgmentDay', 'ThorRagnarok', 'BattleoftheSexes', 'LiveFreeorDieHard', 'GetOut', 'ReadyPlayerOne', 'InglouriousBasterds', 'WeirdScience', 'ZeroDarkThirty', 'TheLordoftheRingsTheReturnoftheKing', 'ThePrestige', 'TheGoodtheBadandtheUgly', 'JojoRabbit', 'SpiderManHomecoming', 'RRR', 'TheLordoftheRingsTheFellowshipoftheRing', 'TheDeathofStalin', 'TenaciousDinThePickofDestiny', 'RaidersoftheLostArk', 'SevenSamurai', 'KPopDemonHunters']",3.54
Badass Bystander,18,"['ANewHope', 'PulpFiction', 'CaptainAmericaTheWinterSoldier', 'AmericanHistoryX', 'TaxiDriver', 'HellorHighWater', 'HardcoreHenry', 'RogueOneAStarWarsStory', 'BoogieNights', 'BabyDriver', 'Terminator2JudgmentDay', 'ThorRagnarok', 'StarWarsTheRiseofSkywalker', 'Room', 'SingStreet', 'SpiderManFarFromHome', 'TheHost', 'KissKissBangBang']",3.58
Badass in Distress,9,"['ANewHope', 'PacificRim', 'IronMan3', 'TheHobbitTheDesolationofSmaug', 'TheDarkKnightRises', 'HowtoTrainYourDragon2', 'WarforthePlanetoftheApes', 'ThorRagnarok', 'RRR']",3.50
Bad Guy Bar,5,"['ANewHope', 'ItsaWonderfulLife', 'FightClub', 'Terminator2JudgmentDay', 'GreenRoom']",4.00
Bar Brawl,12,"['ANewHope', 'ShaunoftheDead', 'ItsaWonderfulLife', 'ManchesterbytheSea', 'FightClub', 'Terminator2JudgmentDay', 'MeanStreets', 'BillAndTedsExcellentAdventure', 'PoliceAcademy', 'TheWorldsEnd', 'ThreeBillboardsOutsideEbbingMissouri', 'RaidersoftheLostArk']",3.54
Batman Gambit,60,"['ANewHope', 'TheEmpireStrikesBack', 'ReturnoftheJedi', 'TheHungerGamesMockingjayPart2', 'AntMan', 'Se7en', 'SchindlersList', 'DjangoUnchained', 'Nightcrawler', 'BatmanBegins', 'TheWolfofWallStreet', 'SlumdogMillionaire', 'CaptainAmericaTheWinterSoldier', 'EdgeofTomorrow', 'TheDarkKnightRises', 'CatchMeIfYouCan', 'Vertigo', 'Dogma', 'RatchetAndClank2016', 'CaptainAmericaCivilWar', 'DialMforMurder', 'ItsaWonderfulLife', 'Elle', 'NowYouSeeMe2', 'JasonBourne', 'HardcoreHenry', 'Inception', 'DrStrangeloveorHowILearnedtoStopWorryingandLovetheBomb', 'DieHard2', 'DieHardWithaVengeance', 'Valkyrie', 'Spotlight', 'JohnWickChapter3Parabellum', 'ZeroDarkThirty', 'StarWarsTheRiseofSkywalker', 'TheLordoftheRingsTheTwoTowers', 'NineteenSeventeen', 'ThePrestige', 'TheInvisibleGuest', 'TheGoodtheBadandtheUgly', 'Overlord', 'Hamilton', 'TheMaskofZorro', 'SpiderManFarFromHome', 'JohnWickChapter4', 'Barbie', 'StarTrekVITheUndiscoveredCountry', 'DunePartTwo', 'ErinBrockovich', 'TheDeathofStalin', 'WitnessfortheProsecution', 'Fargo', 'ToyStory1', 'TheGodfather', 'TheGodfatherPartII', 'ChickenRunDawnoftheNugget', 'Companion', 'LAConfidential', 'GlassOnion', 'WakeUpDeadMan']",3.52
Bavarian Fire Drill,15,"['ANewHope', 'SchindlersList', 'CatchMeIfYouCan', 'RogueOneAStarWarsStory', 'Inception', 'NoCountryforOldMen', 'Valkyrie', 'BigTroubleinLittleChina', 'AllthePresidentsMen', 'TheGraduate', 'Tenet', 'TheLegoMovie', 'PoliceAcademy', 'Hush', 'StarTrekIVTheVoyageHome']",3.67
Beauty Is Never Tarnished,37,"['ANewHope', 'KillBill', 'SinCity', 'TheHungerGames', 'CaptainAmericaTheWinterSoldier', 'EdgeofTomorrow', 'StarWarsTheForceAwakens', 'TheDevilWearsPrada', 'TheHatefulEight', 'HowtoTrainYourDragon2', 'ShaunoftheDead', 'CaptainAmericaCivilWar', 'CatonaHotTinRoof', 'ScottPilgrimvstheWorld', 'FightClub', 'BabyDriver', 'TheTerminator', 'Terminator2JudgmentDay', 'StarshipTroopers', 'ApocalypseNow', 'Searching', 'TheLordoftheRingsTheTwoTowers', 'TheHandmaiden', 'ValerianandtheCityofaThousandPlanets', 'JojoRabbit', 'EyesWideShut', 'SixSouls', 'TheMenu', 'WindRiver', 'PoorThings', 'TheLordoftheRingsTheFellowshipoftheRing', 'Bridesmaids', 'BlackPanther', 'LAConfidential', 'KPopDemonHunters', 'MoBetterBlues', 'GlassOnion']",3.65
Beneath Notice,7,"['ANewHope', 'TheShapeofWater', 'ThePhantomMenace', 'Joker', 'TheMaskofZorro', 'Dune1984', 'TheAssistant']",2.79
Big Bad,97,"['ANewHope', 'TheEmpireStrikesBack', 'ReturnoftheJedi', 'AntMan', 'SchindlersList', 'AvengersAgeofUltron', 'TheGreenMile', 'Argo', 'CaptainAmericaTheWinterSoldier', 'Spy', 'StarWarsTheForceAwakens', 'IronSky', 'TheDarkKnightRises', 'TheDeparted', 'LazerTeam', 'Dogma', 'RatchetAndClank2016', 'OntheWaterfront', 'CaptainAmericaCivilWar', 'Psycho', 'TheBridgeontheRiverKwai', 'TheNiceGuys', 'NowYouSeeMe2', 'FromDuskTillDawn', 'JasonBourne', 'CityofGod', 'TaxiDriver', 'TwelveYearsASlave', 'HardcoreHenry', 'TwoThousandOneASpaceOdyssey', 'RogueOneAStarWarsStory', 'AssassinsCreed', 'Snitch', 'PunchDrunkLove', 'JohnWickChapter2', 'DearZacharyALettertoaSonAboutHisFather', 'Alien3', 'AlienResurrection', 'ScottPilgrimvstheWorld', 'BabyDriver', 'Prometheus', 'WarforthePlanetoftheApes', 'LettheRightOneIn', 'AlienCovenant', 'EventHorizon', 'DrStrangeloveorHowILearnedtoStopWorryingandLovetheBomb', 'BlowOut', 'ThorRagnarok', 'DieHard2', 'DieHardWithaVengeance', 'LiveFreeorDieHard', 'StarWarsTheLastJedi', 'Valkyrie', 'Hereditary', 'EnemyMine', 'Lucy', 'Spotlight', 'JohnWickChapter3Parabellum', 'ZeroDarkThirty', 'TheGraduate', 'GreenRoom', 'TheLordoftheRingsTheTwoTowers', 'CoolHandLuke', 'Machete', 'Andhadhun', 'Overlord', 'TheLegoMovie', 'ValerianandtheCityofaThousandPlanets', 'TheMaskofZorro', 'TheWorldsEnd', 'Mudbound', 'TheLastHouseontheLeft', 'PromisingYoungWoman', 'Hush', 'BoratSubsequentMoviefilm', 'SpiderManHomecoming', 'TheHost', 'JohnWickChapter4', 'ThePoweroftheDog', 'Chernobyl', 'Barbie', 'Oppenheimer', 'WhoFramedRogerRabbit', 'GuardiansoftheGalaxyVol3', 'Idiocracy', 'SnakesonaPlane', 'ToyStory3', 'ButImaCheerleader', 'TheGodfather', 'TheGodfatherPartII', 'Nosferatu', 'BlackPanther', 'Harakiri', 'Friday', 'TheRock', 'TheIronGiant', 'OneBattleAfterAnother']",3.37
Big Badass Battle Sequence,13,"['ANewHope', 'TheEmpireStrikesBack', 'ReturnoftheJedi', 'RogueOneAStarWarsStory', 'StarWarsTheLastJedi', 'ReadyPlayerOne', 'ThePhantomMenace', 'TheLordoftheRingsTheTwoTowers', 'TheLordoftheRingsTheReturnoftheKing', 'PathsofGlory', 'BarryLyndon', 'DunePartTwo', 'TheLordoftheRingsTheFellowshipoftheRing']",3.69
Big Bad Duumvirate,12,"['ANewHope', 'DjangoUnchained', 'IronMan3', 'TheDarkKnightRises', 'HardcoreHenry', 'HotFuzz', 'ThePhantomMenace', 'PathsofGlory', 'RRR', 'TheLivesofOthers', 'StarTrekVITheUndiscoveredCountry', 'RaidersoftheLostArk']",3.17
Big Damn Heroes,78,"['ANewHope', 'ReturnoftheJedi', 'Sicario', 'TheShining', 'ReservoirDogs', 'SchindlersList', 'DjangoUnchained', 'BatmanBegins', 'ThisMeansWar', 'PacificRim', 'CaptainAmericaTheWinterSoldier', 'Spy', 'StarWarsTheForceAwakens', 'Battleship', 'MyNeighborTotoro', 'IronSky', 'TheDarkKnightRises', 'BigHero6', 'Dogma', 'Casablanca', 'ItsaWonderfulLife', 'Psycho', 'NowYouSeeMe2', 'FromDuskTillDawn', 'JasonBourne', 'TaxiDriver', 'TwelveYearsASlave', 'Inception', 'HacksawRidge', 'TheHobbitAnUnexpectedJourney', 'Aliens', 'District9', 'Alien3', 'Dunkirk', 'LettheRightOneIn', 'PoultrygeistNightoftheChickenDead', 'ThorRagnarok', 'Moana', 'StarWarsTheLastJedi', 'IndependenceDay', 'TheGoonies', 'PansLabyrinth', 'ReadyPlayerOne', 'TraintoBusan', 'TheAbyss', 'Brazil', 'StarWarsTheRiseofSkywalker', 'TheLordoftheRingsTheTwoTowers', 'TheLegoMovie', 'TheRoadtoElDorado', 'BillAndTedsExcellentAdventure', 'KikisDeliveryService', 'TheMaskofZorro', 'TheWorldsEnd', 'BoratSubsequentMoviefilm', 'Luca', 'SpiderManHomecoming', 'SpiderManFarFromHome', 'SpiderManNoWayHome', 'RRR', 'WindRiver', 'SpiderManIntotheSpiderVerse', 'StarTrekIVTheVoyageHome', 'Chernobyl', 'StarTrekVITheUndiscoveredCountry', 'Paddington', 'WhoFramedRogerRabbit', 'GuardiansoftheGalaxyVol3', 'TheLordoftheRingsTheFellowshipoftheRing', 'SnakesonaPlane', 'EverythingEverywhereAllatOnce', 'ToyStory2', 'ToyStory1', 'ToyStory3', 'HomeAlone', 'RaidersoftheLostArk', 'BlackPanther', 'KPopDemonHunters']",3.39
"Big ""NO!""",74,"['ANewHope', 'TheEmpireStrikesBack', 'ReturnoftheJedi', 'InsideOut', 'Se7en', 'DjangoUnchained', 'NeedforSpeed', 'CaptainPhillips', 'TheGreenMile', 'TheHungerGames', 'PacificRim', 'IronMan3', 'TheHobbitTheDesolationofSmaug', 'StarWarsTheForceAwakens', 'Battleship', 'TheDarkKnightRises', 'LazerTeam', 'TheSwanPrincess', 'HowtoTrainYourDragon2', 'AmericanHistoryX', 'ShaunoftheDead', 'CaptainAmericaCivilWar', 'Inception', 'RosemarysBaby', 'TheHobbitAnUnexpectedJourney', 'HotFuzz', 'GuardiansoftheGalaxyVol2', 'Aliens', 'EuroTrip', 'Alien3', 'AlienResurrection', 'Prometheus', 'ItComesatNight', 'Terminator2JudgmentDay', 'AlienCovenant', 'EventHorizon', 'ThorRagnarok', 'Moana', 'StarWarsTheLastJedi', 'IndependenceDay', 'LaLaLand', 'SpiritedAway', 'ReadyPlayerOne', 'TheAbyss', 'ThePhantomMenace', 'HaroldAndKumarGoToWhiteCastle', 'StarWarsTheRiseofSkywalker', 'TheLordoftheRingsTheTwoTowers', 'TheLordoftheRingsTheReturnoftheKing', 'TheLighthouse', 'KnivesOut', 'Hamilton', 'TheLegoMovie', 'TheRoadtoElDorado', 'TheMaskofZorro', 'SpiderManNoWayHome', 'Barbie', 'StarTrekTheMotionPicture', 'WhoFramedRogerRabbit', 'GuardiansoftheGalaxyVol3', 'TheLordoftheRingsTheFellowshipoftheRing', 'TenaciousDinThePickofDestiny', 'ToyStory2', 'ToyStory1', 'TheSubstance', 'ToyStory3', 'TheRockyHorrorPictureShow', 'InsideOut2', 'RaidersoftheLostArk', 'BlackPanther', 'Sinners', 'Companion', 'TheIronGiant', 'JungleFever']",3.43
"Big ""WHAT?!""",11,"['ANewHope', 'HotFuzz', 'ThorRagnarok', 'LaLaLand', 'ThePhantomMenace', 'TheGraduate', 'StarWarsTheRiseofSkywalker', 'TheWorldsEnd', 'BoratSubsequentMoviefilm', 'ToyStory1', 'HomeAlone']",3.50
Bilingual Dialogue,21,"['ANewHope', 'TheEmpireStrikesBack', 'ReturnoftheJedi', 'PacificRim', 'CaptainAmericaTheWinterSoldier', 'StarWarsTheForceAwakens', 'Frank', 'ToniErdmann', 'BladeRunner', 'Logan', 'District9', 'OnceUponaTimeinHollywood', 'StarWarsTheRiseofSkywalker', 'Breathless', 'Onward', 'TheFrenchDispatchoftheLibertyKansasEveningSun', 'RRR', 'StarTrekIIITheSearchforSpock', 'TheDayAfterTomorrow', 'Anora', 'Snowpiercer']",3.48
Black-and-White Morality,10,"['ANewHope', 'Sicario', 'CatchMeIfYouCan', 'ItsaWonderfulLife', 'JesusCamp', 'IndependenceDay', 'Dune1984', 'Fargo', 'ToyStory3', 'Mickey17']",3.75
Blatant Lies,111,"['ANewHope', 'TheEmpireStrikesBack', 'InsideOut', 'AntMan', 'TheShining', 'PulpFiction', 'SchindlersList', 'KillBill', 'ChildrenofMen', 'Nightcrawler', 'CaptainPhillips', 'TheGreenMile', 'ThisMeansWar', 'DallasBuyersClub', 'TheHobbitTheDesolationofSmaug', 'EdgeofTomorrow', 'Spy', 'EscapefromAlcatraz', 'TheDarkKnightRises', 'TheHatefulEight', 'LazerTeam', 'AmericanHistoryX', 'ShaunoftheDead', 'Casablanca', 'TheBourneUltimatum', 'CaptainFantastic', 'ToniErdmann', 'JesusCamp', 'FantasticBeastsandWheretoFindThem', 'FearandLoathinginLasVegas', 'RogueOneAStarWarsStory', 'TheGreatEscape', 'PunchDrunkLove', 'TheHobbitAnUnexpectedJourney', 'Logan', 'BoogieNights', 'HotFuzz', 'GuardiansoftheGalaxyVol2', 'District9', 'Alien3', 'AlienCovenant', 'IntheMoodforLove', 'ThorRagnarok', 'KingsmanTheGoldenCircle', 'StarshipTroopers', 'ITonya', 'IndependenceDay', 'PinkFloydTheWall', 'RomancingtheStone', 'TheGoonies', 'GoodWillHunting', 'OBrotherWhereArtThou', 'Roma', 'Possession', 'TraintoBusan', 'BirdBox', 'BigTroubleinLittleChina', 'Spotlight', 'InglouriousBasterds', 'AllthePresidentsMen', 'WhenTheySeeUs', 'MarriageStory', 'BlowUp', 'Midsommar', 'KnivesOut', 'FrancesHa', 'Ikiru', 'IntheNameoftheFather', 'AnAmericanWerewolfinLondon', 'JojoRabbit', 'TheTrumanShow', 'TheMaskofZorro', 'ThreeBillboardsOutsideEbbingMissouri', 'Incendies', 'FishTank', 'TheHost', 'Tusk', 'Chernobyl', 'StarTrekVITheUndiscoveredCountry', 'Paddington', 'Paddington2', 'GuardiansoftheGalaxyVol3', 'MasterandCommanderTheFarSideoftheWorld', 'DunePartTwo', 'TheLordoftheRingsTheFellowshipoftheRing', 'ErinBrockovich', 'TheDeathofStalin', 'AreYouThereGodItsMeMargaret', 'TheHoldovers', 'LegallyBlonde', 'Bridesmaids', 'ToyStory2', 'SwissArmyMan', 'Clueless', 'TheRockyHorrorPictureShow', 'ButImaCheerleader', 'Bottoms', 'RaidersoftheLostArk', 'MulhollandDrive', 'Pride', 'TheRock', 'TheIronGiant', 'GirlInterrupted', 'PopstarNeverStopNeverStopping', 'EighthGrade', 'JungleFever', 'BoyzntheHood', 'KPopDemonHunters', 'QuoVadisAida', 'Amadeus', 'MyCousinVinny']",3.51
Bond One-Liner,26,"['ANewHope', 'TheEmpireStrikesBack', 'DjangoUnchained', 'NeedforSpeed', 'IronMan3', 'CaptainAmericaTheWinterSoldier', 'Spy', 'TheDarkKnightRises', 'BadAss', 'RogueOneAStarWarsStory', 'HotFuzz', 'ScottPilgrimvstheWorld', 'BabyDriver', 'DieHard2', 'DieHardWithaVengeance', 'KingsmanTheGoldenCircle', 'IndependenceDay', 'TheGoodtheBadandtheUgly', 'Tenet', 'AmericanPsycho', 'SpiderManIntotheSpiderVerse', 'WhoFramedRogerRabbit', 'DunePartTwo', 'ToyStory2', 'ToyStory1', 'TheRock']",3.50
